爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
紗,サ・シャ・うすぎぬ,gauze; gossamer
勺,シャク,ladle; one tenth of a go; dip
竣,ドウ・シュン・わらわ・わらべ・おわ.る,end; finish
恕,ジョ・ショ・ゆる.す,excuse; tolerate; forgive
捷,ショウ・ソウ・はや.い,victory; fast
梢,ショウ・こずえ・くすのき,treetops; twig
菖,ショウ,iris
丞,ジョウ・ショウ・すく.う・たす.ける,help
錘,スイ・つむ・おもり,weight; plumb bob; sinker; spindle
嵩,スウ・シュウ・かさ・かさ.む・たか.い,be aggravated; grow worse; grow bulky; swell
碩,セキ・おお.きい,large; great; eminent
銑,セン,pig iron
脹,チョウ・は.れる・ふく.らむ・ふく.れる,dilate; distend; bulge; fill out; swell
紬,チュウ・つむぎ・つむ.ぐ,pongee (a knotted silk cloth)
凪,なぎ・な.ぐ,lull; calm; (kokuji)
捺,ナツ・ダツ・さ.す・お.す,press; print; affix a seal; stamp
柊,シュ・シュウ・ひいらぎ,holly
楓,フウ・かえで,maple
蕗,ロ・ル・ふき,butterbur; bog rhubarb
柾,まさ・まさめ・まさき,straight grain; spindle tree; (kokuji)
亦,エキ・ヤク・また,also; again
麿,まろ,I; you; (kokuji)
椋,リョウ・むく,type of deciduous tree; grey starling
匁,もんめ・め,monme; 3.75 grams; (kokuji)
耶,ヤ・ジャ・か,question mark
宥,ユウ・なだ.める・ゆる.す,soothe; calm; pacify
蓉,ヨウ,lotus
諒,リョウ・あきら.か・まことに,fact; reality; understand; appreciate
琳,リン,jewel; tinkling of jewelry
麟,リン,Chinese unicorn; genius; giraffe; bright; shining
伶,レイ・リョウ・わざおぎ,actor
侑,ユウ・ウ・すす.める・たす.ける,urge to eat
勁,ケイ・つよ.い,strong
奎,ケイ・キ,star; god of literature
崚,リョウ,mountains towering in a row
昴,コウ・ボウ・すばる,the Pleiades
晏,アン・おそ.い,late; quiet; sets (sun)
晨,シン・あした・とき・あさ,morning; early
晟,セイ・ジョウ・あきらか,clear
栞,カン・しおり,bookmark; guidebook
椰,ヤ・やし,coconut tree
洵,ジュン・シュン・の.ぶ・まこと.に,alike; truth
滉,コウ・ひろ.い,deep and broad
澪,レイ・みお,water route; shipping channel
燎,リョウ・かがりび,burn; bonfire
燿,ヨウ・かがや.く・ひかり,shine
瑶,ヨウ・たま,beautiful as a jewel
眸,ボウ・ム・ひとみ,pupil of the eye
笙,ショウ・ソウ・ふえ,a reed instrument
綸,リン・カン・いと,thread; silk cloth
茉,マツ・バツ・マ,jasmine
莉,リ・ライ・レイ,jasmine
菫,キン・すみれ,the violet
詢,ジュン・シュン・はか.る・まこと,consult with
諄,シュン・ひちくど.い・くど.い・くどくど・ねんご.ろ,tedious
迪,テキ・みち・みちび.く・すす.む・いた.る,edify; way; path
頌,ショウ・ジュ・ヨウ・かたち・たた.える・ほめ.る,eulogy
颯,サツ・ソウ・さっ.と,sudden; quick; sound of the wind
凜,リン・きびし.い,cold; strict; severe
熙,キ・たのし.む・ひか.る・ひろ.い・よろこ.ぶ・かわ.く・あきらか・ひろ.める・ひろ.まる,bright; sunny; prosperous; merry
屯,トン・たむろ,barracks; police station; camp; ton
姻,イン,matrimony; marry
擬,ギ・まが.い・もど.き,mimic; aim (a gun) at; nominate; imitate
塀,ヘイ・ベイ,fence; wall; (kokuji)
唇,シン・くちびる,lips
睦,ボク・モク・むつ.まじい・むつ.む・むつ.ぶ,intimate; friendly; harmonious
閑,カン,leisure
幽,ユウ・ふか.い・かす.か・くら.い・しろ.い,seclude; confine to a room; deep; profound; secluded; faint; dark; tranquil; calm
曹,ソウ・ゾウ,office; official; comrade; fellow
詠,エイ・よ.む・うた.う,recitation; poem; song; composing
卑,ヒ・いや.しい・いや.しむ・いや.しめる,lowly; base; vile; vulgar
侮,ブ・あなど.る・あなず.る,scorn; despise; make light of; contempt
鋳,チュウ・イ・シュ・シュウ・い.る,casting; mint
抹,マツ,rub; paint; erase
尉,イ・ジョウ,military officer; jailer; old man; rank
隷,レイ・したが.う・しもべ,slave; servant; prisoner; criminal; follower
禍,カ・わざわい,calamity; misfortune; evil; curse
酪,ラク,dairy products; whey; broth; fruit juice
茎,ケイ・キョウ・くき,stalk; stem
帥,スイ,commander; leading troops; governor
逝,セイ・ゆ.く・い.く,departed; die
匿,トク・かくま.う,hide; shelter; shield
襟,キン・えり,collar; neck; lapel; one's inner feelings
蛍,ケイ・ほたる,lightning-bug; firefly
寡,カ,widow; minority; few
痢,リ,diarrhea
庸,ヨウ,commonplace; ordinary; employment
坑,コウ,pit; hole
藍,ラン・あい,indigo
賊,ゾク,burglar; rebel; traitor; robber
搾,サク・しぼ.る,squeeze
畔,ハン・あぜ・くろ・ほとり,paddy ridge; levee
唄,バイ・うた・うた.う,song; ballad
孔,コウ・ク・あな,cavity; hole; slit; very; great; exceedingly
呂,ロ・リョ・せぼね,spine; backbone
拷,ゴウ,torture; beat
嬢,ジョウ・むすめ,lass; girl; Miss; daughter
渓,ケイ・たに・たにがわ,mountain stream; valley
翁,オウ・おきな,venerable old man
廉,レン,bargain; reason; charge; suspicion; point; account; purity; honest; low price; cheap; rested; contented; peaceful
謹,キン・つつし.む,discreet; reverently; humbly
瞳,ドウ・トウ・ひとみ,pupil (of eye)
湧,ユウ・ヨウ・ユ・わ.く,boil; ferment; seethe; uproar; breed
窯,ヨウ・かま,kiln; oven; furnace
褒,ホウ・ほ.める,praise; extol
醜,シュウ・みにく.い・しこ,ugly; unclean; shame; bad looking
升,ショウ・ます,measuring box; 1.8 liter
