盆地,ぼんち,basin (e.g. between mountains)
毎度,まいど,each time; always; often / thank you for your continued patronage
枕,まくら,pillow; bolster / introduction (e.g. to a rakugo story); lead-in
味わう,あじわう,to taste; to savor; to savour; to relish / to appreciate; to enjoy; to relish; to digest / to experience; to go through; to taste (e.g. victory); to know (e.g. pain)
無地,むじ,plain; unfigured
名詞,めいし,noun
命ずる,めいずる,to order; to command / to appoint
明け方,あけがた,dawn
迷信,めいしん,superstition; superstitious belief
鳴らす,ならす,to ring; to sound; to chime; to beat; to snort (nose); to snap (fingers) / to be popular; to be esteemed; to be reputed / to state; to insist; to complain / to fart (loudly)
姪,めい,niece
免税,めんぜい,tax exemption; duty exemption
茂る,しげる,to grow thickly; to be in full leaf; to be rampant; to luxuriate; to be luxurious
毛糸,けいと,knitting wool; woollen yarn
目印,めじるし,mark; sign; landmark; benchmark
目覚まし,めざまし,alarm clock / waking up; keeping oneself awake / type of candy given to a child after it wakes up from a nap
目指す,めざす,to aim at; to have an eye on / to go toward; to head for
目次,もくじ,table of contents
目上,めうえ,superior; superiors; senior
目立つ,めだつ,to be conspicuous; to stand out
もち,餅,mochi; (sticky) rice cake
問答,もんどう,questions and answers; dialogue
矢印,やじるし,arrow (mark or symbol); directional marker or indicator
薬局,やっきょく,pharmacy; drugstore; chemist's (shop) / hospital pharmacy; dispensary
薬指,くすりゆび,ring finger; fourth finger
訳す,やくす,to translate; to interpret
油断,ゆだん,negligence; carelessness; inattention; unpreparedness
輸血,ゆけつ,blood transfusion
勇ましい,いさましい,brave; valiant; gallant; courageous / stirring; vigorous; rousing
ありがたい,有り難い,grateful; thankful; welcome; appreciated; evoking gratitude
遊園地,ゆうえんち,amusement park
夕日,ゆうひ,evening sun; setting sun
夕立,ゆうだち,(sudden) evening shower (rain)
余る,あまる,to remain; to be left over; to be in excess; to be too many
預かる,あずかる,to look after; to take care of; to keep; to hold on to; to keep in custody / to be put in charge of; to be given responsibility for; to be entrusted with / to withhold (an announcement); to reserve (judgment); to leave undecided / to take upon oneself (to do); to settle (a matter) oneself
幼稚,ようち,infancy / childish; infantile; immature; primitive
容積,ようせき,capacity; volume
溶け込む,とけこむ,to melt into; to dissolve into; to merge into / to blend into (surroundings); to fit in; to adapt to; to integrate
羊毛,ようもう,wool
欲張り,よくばり,greed; avarice; covetousness; greedy person
頼もしい,たのもしい,reliable; trustworthy / hopeful; promising
落第,らくだい,failure (in an examination); failing to advance (to the next year) / falling short of the standard; not making the grade
乱暴,らんぼう,violence; assault; running riot / rough (e.g. handling); reckless; careless; coarse; rude; unreasonable (e.g. demand); wild (e.g. argument) / rape; sexual assault
裏口,うらぐち,backdoor; rear entrance
裏返す,うらがえす,to turn inside out; to turn the other way; to turn (something) over
立ち止まる,たちどまる,to stop; to halt; to stand still
留守番,るすばん,care-taking; house-sitting; house-watching; staying at home / caretaker; house-sitter
領収,りょうしゅう,receipt (of money); receiving
冷める,さめる,"to cool down; to get cold / to cool off (excitement, temper, etc.); to subside; to dampen; to fade; to wane / to be cold (eyes, expression, etc.); to be composed"
冷やす,ひやす,to cool (from room temperature); to chill; to refrigerate / to calm down; to cool off; to regain one's composure; to relax / to be frightened (at); to be scared (of)
恋しい,こいしい,yearned for; longed for; missed
論ずる,ろんずる,to discuss; to talk about; to deal with (a topic) / to argue; to dispute / to take into consideration; to make an issue of
和英,わえい,Japanese-English
和服,わふく,Japanese clothes
椀,わん,bowl (wooden)
