杯,ハイ・さかずき,counter for cupfuls; wine glass; glass; toast
疲,ヒ・つか.れる・~づか.れ・つか.らす,exhausted; tire; weary
皆,カイ・みな・みんな,all; everything
煙,エン・けむ.る・けむり・けむ.い,smoke
眠,ミン・ねむ.る・ねむ.い,sleep; die; sleepy
怖,フ・ホ・こわ.い・こわ.がる・お.じる・おそ.れる,dreadful; be frightened; fearful
髪,ハツ・かみ,hair of the head
忙,ボウ・モウ・いそが.しい・せわ.しい・おそ.れる・うれえるさま,busy; occupied; restless
靴,カ・くつ,shoes
恥,チ・は.じる・はじ・は.じらう・は.ずかしい,shame; dishonor
偶,グウ・たま,accidentally; even number; couple; man & wife; same kind
偉,イ・えら.い,admirable; greatness; remarkable; conceited; famous; excellent
猫,ビョウ・ねこ,cat
幾,キ・いく~・いく.つ・いく.ら,how many; how much; how far; how long; some; several
疑,ギ・うたが.う,doubt; distrust; be suspicious; question
供,キョウ・ク・クウ・グ・そな.える・とも・~ども,submit; offer; present; serve (meal); accompany
割,カツ・わ.る・わり・わ.り・わ.れる・さ.く,proportion; comparatively; divide; cut; separate; split
難,ナン・かた.い・~がた.い・むずか.しい・むづか.しい・むつか.しい・~にく.い,difficult; impossible; trouble; accident; defect
優,ユウ・ウ・やさ.しい・すぐ.れる・まさ.る,tenderness; excel; surpass; actor; superiority; gentleness
収,シュウ・おさ.める・おさ.まる,income; obtain; reap; pay; supply; store
宅,タク,home; house; residence; our house; my husband
警,ケイ・いまし.める,admonish; commandment
訪,ホウ・おとず.れる・たず.ねる・と.う,call on; visit; look up; offer sympathy
若,ジャク・ニャク・ニャ・わか.い・わか~・も.しくわ・も.し・も.しくは・ごと.し,young; if; perhaps; possibly; low number; immature
段,ダン・タン,grade; steps; stairs
呼,コ・よ.ぶ,call; call out to; invite
値,チ・ね・あたい,price; cost; value
処,ショ・ところ・~こ・お.る,dispose; manage; deal with; sentence; condemn; act; behave; place
否,ヒ・いな・いや,negate; no; noes; refuse; decline; deny
存,ソン・ゾン・ながら.える・あ.る・たも.つ・と.う,exist; suppose; be aware of; believe; feel
座,ザ・すわ.る,squat; seat; cushion; gathering; sit
除,ジョ・ジ・のぞ.く・~よ.け,exclude; division (x/3); remove; abolish; cancel; except
降,コウ・ゴ・お.りる・お.ろす・ふ.る・ふ.り・くだ.る・くだ.す,descend; precipitate; fall; surrender
危,キ・あぶ.ない・あや.うい・あや.ぶむ,dangerous; fear; uneasy
亡,ボウ・モウ・な.い・な.き~・ほろ.びる・ほろ.ぶ・ほろ.ぼす,deceased; the late; dying; perish
背,ハイ・せ・せい・そむ.く・そむ.ける,stature; height; back; behind; disobey; defy; go back on; rebel
勤,キン・ゴン・つと.める・~づと.め・つと.まる・いそ.しむ,diligence; become employed; serve
困,コン・こま.る,quandary; become distressed; annoyed
刻,コク・きざ.む・きざ.み,engrave; cut fine; chop; hash; mince; time; carving
欲,ヨク・ほっ.する・ほ.しい,longing; covetousness; greed; passion; desire; craving
痛,ツウ・いた.い・いた.む・いた.ましい・いた.める,pain; hurt; damage; bruise
探,タン・さぐ.る・さが.す,grope; search; look for
閉,ヘイ・と.じる・と.ざす・し.める・し.まる・た.てる,closed; shut
暮,ボ・く.れる・く.らす,evening; twilight; season's end; livelihood; make a living; spend time
吸,キュウ・す.う,suck; imbibe; inhale; sip
忘,ボウ・わす.れる,forget
誤,ゴ・あやま.る・~あやま.る,mistake; err; do wrong; mislead
洗,セン・あら.う,wash; inquire into; probe
窓,ソウ・ス・まど・てんまど・けむだし,window; pane
腹,フク・はら,abdomen; belly; stomach
頂,チョウ・いただ.く・いただき,place on the head; receive; top of head; top; summit; peak
晩,バン,nightfall; night
歳,サイ・セイ・とし・とせ・よわい,year-end; age; occasion; opportunity
与,ヨ・あた.える・あずか.る・くみ.する・ともに,bestow; participate in; give; award; impart; provide; cause; gift; godsend
違,イ・ちが.う・ちが.い・ちが.える・~ちが.える・たが.う・たが.える,difference; differ
渡,ト・わた.る・~わた.る・わた.す,transit; ford; ferry; cross; import; deliver; diameter; migrate
突,トツ・カ・つ.く,stab; protruding; thrust; pierce; prick; collision; sudden
捕,ホ・と.らえる・と.らわれる・と.る・とら.える・とら.われる・つか.まえる・つか.まる,catch; capture
迎,ゲイ・むか.える,welcome; meet; greet
彼,ヒ・かれ・かの・か.の,he; that; the
舞,ブ・ま.う・~ま.う・まい,dance; flit; circle; wheel
込,~こ.む・こ.む・こ.み・~こ.み・こ.める,crowded; mixture; in bulk; included; (kokuji)
頼,ライ・たの.む・たの.もしい・たよ.る,trust; request
途,ト・みち,route; way; road
抜,バツ・ハツ・ハイ・ぬ.く・~ぬ.く・ぬ.き・ぬ.ける・ぬ.かす・ぬ.かる,slip out; extract; pull out; pilfer; quote; remove; omit
婚,コン,marriage
浮,フ・う.く・う.かれる・う.かぶ・む・う.かべる,floating; float; rise to surface
押,オウ・お.す・お.し~・お.っ~・お.さえる・おさ.える,push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of
