読み,よみ,reading
日付,ひづけ,date; dating
板,いた,board; plank / sheet (of metal); plate (of glass); pane; slab / cutting board; chopping board / chef (esp. of high-end Japanese cuisine); cook / stage (i.e. at a theatre)
皮,かわ,skin; hide; pelt; fur / rind; peel; husk; bark / shell; sheath; wrapping / mask (hiding one's true nature); seeming
氷,こおり,ice / shaved ice (usually served with flavored simple syrup)
不幸,ふこう,unhappiness; sorrow; misfortune; disaster; accident / death (usu. of a relative); bereavement
不利,ふり,disadvantage; handicap; unfavorable position
文句,もんく,complaint; grumbling; objection / phrase; words; expression
別れ,わかれ,parting; separation; farewell; (lateral) branch; fork; offshoot; division; section
抱える,かかえる,"to hold or carry under or in the arms / to have (esp. problems, debts, etc.) / to employ; to engage; to hire"
冒険,ぼうけん,adventure; venture / venture which is unlikely to succeed; risky attempt; danger; hazard; risk
面倒,めんどう,trouble; bother / trouble; difficulty / care; attention
流す,ながす,"to drain; to pour; to spill; to shed (blood, tears) / to wash away / to distribute (e.g. electricity over wires, music over a PA system, etc.); to circulate; to broadcast; to beam / to cruise (e.g. taxi) / to float; to set adrift / to call off (a meeting, etc.) / to exile; to banish"
列,れつ,row; line; file; column; queue; rank; procession / company (of someone); group; ranks / sequence / counter for rows
姉妹,しまい,sisters
様々,さまざま,varied; various
向い,むかい,facing; opposite; across the street; other side
よい,良い,"good; excellent; fine; nice; pleasant; agreeable / sufficient (can be used to turn down an offer); ready; prepared / profitable (e.g. deal, business offer, etc.); beneficial / OK"
氏,し,Mr; Mrs; Ms; Miss / clan / he; him / counter for people
愛情,あいじょう,love; affection
偉大,いだい,great; grand; magnificent; outstanding; mighty
運,うん,fortune; luck
嫁,よめ,wife; bride / (one's) daughter-in-law
菓子,かし,confectionery; sweets; candy; cake
回,かい,counter for occurrences / a time; an instance / inning (baseball); round; game / episode; chapter; instalment / Hui (people) / Islam
感じる,かんじる,to feel; to sense; to experience
奇妙,きみょう,strange; queer; curious
救助,きゅうじょ,relief; aid; rescue
局,きょく,"bureau; department / office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange / affair; situation / game (of go, shogi, etc.)"
金庫,きんこ,safe; strongbox; cashbox; vault; strongroom / depository; cash office; treasury; provider of funds
繰り返す,くりかえす,to repeat; to do something over again
語る,かたる,to talk about; to speak of; to tell; to narrate / to recite; to chant / to indicate; to show
時刻,じこく,instant; time; moment
守る,まもる,to protect; to guard; to defend / to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow
渋滞,じゅうたい,congestion (e.g. traffic); delay; stagnation
小屋,こや,hut; cabin; shed; (animal) pen / small theatre (theater); temporary playhouse; circus tent; booth / one's own house
信仰,しんこう,(religious) faith; belief; creed
図書,としょ,books
盛り,さかり,peak (e.g. of cherry blossom season); height (e.g. of summer) / prime (of one's life); one's best days / rutting; being in heat
石炭,せきたん,coal
絶滅,ぜつめつ,extinction; extermination / eradication; stamping out; wiping out
釣り,つり,fishing; angling / change (e.g. for a purchase) / trolling; writing false posts online
典型,てんけい,type; pattern; model; epitome; exemplar; archetype; perfect example
納得,なっとく,consent; assent; agreement / understanding; comprehension; grasp
破産,はさん,bankruptcy; insolvency
背,せい,height; stature
批評,ひひょう,criticism; review; commentary
革,かわ,leather
筆,ふで,writing brush
服装,ふくそう,garments; attire
物理,ぶつり,physics; law of nature
味方,みかた,friend; ally; supporter / taking sides with; supporting; standing by; backing up
無事,ぶじ,safety; peace; quietness
黙る,だまる,to be silent; to say nothing
裸,はだか,nakedness; nudity / bareness; nakedness; baldness; being uncovered / being penniless / concealing nothing; openness
灯,ひ,light; lamp; torch
科目,かもく,(school) subject; curriculum; course
幸せ,しあわせ,happiness; good fortune; luck; blessing
集まり,あつまり,gathering; meeting; assembly; collection; attendance
続き,つづき,sequel; continuation; (also suffix) continuation (in time and space); second series; succession; spell
悪魔,あくま,devil; demon; fiend / Satan; the Devil / Māra; evil spirits or forces that hinder one's path to enlightenment
永遠,えいえん,eternity; perpetuity; permanence; immortality
横断,おうだん,crossing; traversing / traversing horizontally; passing west to east (or east to west) / cutting horizontally
穏やか,おだやか,calm; gentle; quiet
快適,かいてき,pleasant; agreeable; comfortable
外出,がいしゅつ,"going out; outing; leaving (one's home, office, etc.)"
学問,がくもん,scholarship; study; learning / discipline; branch of learning; (a) science
感心,かんしん,admiration; being impressed / admirable; praiseworthy / astonishment; being appalled
帰宅,きたく,returning home
技師,ぎし,engineer; technician
逆,ぎゃく,"reverse; opposite / converse (of a hypothesis, etc.) / inverse (function)"
吸収,きゅうしゅう,absorption; suction; attraction
区別,くべつ,distinction; differentiation; classification
撃つ,うつ,to shoot (at) / to attack; to defeat; to destroy; to avenge
欠席,けっせき,absence; non-attendance
月曜,げつよう,Monday
後者,こうしゃ,the latter
語学,ごがく,study of language; linguistics / foreign language study
公平,こうへい,fairness; impartiality; justice; objectivity
皿,さら,plate; dish; platter; disc / serving; helping; course / kanji radical 108 (at the bottom)
自慢,じまん,pride; boast
手間,てま,time; labour; labor
城,しろ,castle
食卓,しょくたく,dining table
相続,そうぞく,succession; inheritance
断る,ことわる,to refuse; to reject; to dismiss; to turn down; to decline / to inform; to give notice; to tell in advance / to ask leave; to excuse oneself (from)
通学,つうがく,commuting to school; school commute
泥,どろ,mud; slush; (wet) dirt; mire / thief
当てる,あてる,to hit / to expose / to apply (e.g. patch); to put on; to put against; to hold on; to hold against / to allot; to call on someone (e.g. in class) / to guess (an answer) / to make a hit (e.g. in a lottery)
毒,どく,poison; toxicant / harm; evil influence / ill will; spite; malice / abusive language
望み,のぞみ,wish; desire; hope / prospect; expectation; (one's) hopes
友情,ゆうじょう,friendship; fellowship; camaraderie
誘う,さそう,"to invite; to ask (someone to do); to call (for); to take (someone) along / to tempt; to lure; to entice; to seduce / to induce (tears, laughter, sleepiness, etc.); to arouse (e.g. sympathy); to provoke"
翼,つばさ,wing / Chinese "Wings" constellation (one of the 28 mansions) / counter for birds or bird wings
係,かかり,charge; duty; person in charge; official; clerk / connection; linking
愛する,あいする,to love
握手,あくしゅ,handshake
鋭い,するどい,sharp (blade); pointed / sharp (pain); stabbing; cutting (remark); stinging; pointed (question or look); screeching (noise) / perceptive; keen; quick (mind); astute; shrewd; discerning / nimble; agile; quick
炎,ほのお,"flame; blaze / flames (of intense emotion, e.g. love, jealousy, anger); passion"
勘定,かんじょう,calculation; computation; counting; reckoning; count / bill; check; account; payment (of a bill); settlement (of an account) / consideration; allowance
苦痛,くつう,pain; agony; bitterness
交際,こうさい,company; friendship; association; society; acquaintance
幸福,こうふく,happiness; well-being; joy; welfare; blessedness
高価,こうか,high price
穀物,こくもつ,grain; cereal; corn
婚約,こんやく,engagement; betrothal
混雑,こんざつ,congestion; crush; crowding; jam / confusion; disorder
失望,しつぼう,disappointment; despair
順番,じゅんばん,turn (in line); order of things; sequential order
承知,しょうち,knowledge; awareness / consent; acceptance; assent; admitting; compliance; agreement; acknowledgment; acknowledgement / forgiving; pardoning; excusing
食物,しょくもつ,food; foodstuff
舌,した,tongue / tongue-like object; clapper (of a bell); talon (of a lock)
中古,ちゅうこ,used; second-hand; old / Middle Ages
徹夜,てつや,staying up all night
土産,みやげ,present; souvenir
頭痛,ずつう,headache
鍋,なべ,saucepan; pot / stew; hot pot
日光,にっこう,sunlight; sunshine; sunbeams
配達,はいたつ,delivery; distribution
発達,はったつ,development; growth
美人,びじん,beautiful woman
便,びん,flight (e.g. airline flight); trip (e.g. train trip); service / mail; post; letter / opportunity; chance
宝石,ほうせき,gem; jewel; precious stone
霧,きり,fog; mist / spray
木曜,もくよう,Thursday
話し合う,はなしあう,to discuss; to talk together
永久,えいきゅう,eternity; permanence; perpetuity / Eikyū era (1113.7.13-1118.4.3)
雷,かみなり,lightning; thunder; thunderbolt / god of thunder; god of lightning / anger; fit of anger
覆う,おおう,to cover; to hide; to conceal; to wrap; to disguise
越える,こえる,to cross over; to cross; to pass through; to pass over (out of); to go beyond; to go past / to exceed; to surpass; to be more (than)
乗せる,のせる,"to place on (something) / to give (someone) a ride; to give a lift; to pick up; to help on board / to load (luggage); to carry; to take on board / to send out (on the airwaves, etc.) / to deceive; to take for a ride / to (sing) along with (musical accompaniment) / to let (someone) take part / to excite (someone) / to publish (an article); to run (an ad)"
見舞い,みまい,visiting ill or distressed people; writing get-well letters / get-well gifts; get-well letters / expression of sympathy; expression of concern; enquiry; inquiry
隠す,かくす,to hide; to conceal
活気,かっき,energy; liveliness
勘,かん,perception; intuition; the sixth sense
居間,いま,living room (Western style)
叫ぶ,さけぶ,to shout; to cry; to scream; to shriek; to yell; to exclaim / to clamor (for or against); to clamour (for or against)
